Origin,Globe,Star,Grid,Star_nop,
1873.5504323802595,1858.0025152664962,1867.3431748409594,1870.5096426733528,1851.4918732515412,
1316.5456895333575,1471.4927243737181,1489.5165863832103,1390.5024453941146,1225.704830521325,
1123.240401282014,1153.8470823479802,1266.4987403590503,1171.9599398236994,868.9295163539531,
925.9829077661585,1050.4827866122455,1074.2382169495636,1043.3277169397877,682.7597183684321,
809.3399532177517,845.0005345419041,966.2969442972854,889.378962778197,531.128047687838,
747.5063297502094,765.4802673623618,876.3635344881401,765.1742872348453,444.79767437879707,
685.4451150348291,671.9202284617727,800.8120608062272,734.5986253023999,393.47982435718484,
617.2616642846237,611.0755790741381,736.7660495385376,684.8668440157257,355.72998557185775,
565.5989785570456,527.65563161476,663.3965506772657,651.1098525224297,315.8700730042286,
539.9491195385403,489.3067507771129,609.1773159982484,615.110786766177,301.3357690816568,
509.79075020896175,443.66631811190894,582.8397678098968,574.1625674007043,278.95307382448624,
478.8257753091055,391.38636636101364,553.5520994596474,538.8440573643659,255.90358127359434,
454.3226591700477,367.1780983593282,510.56226580951017,510.2602710531671,249.99164758606764,
413.84745863767614,325.73815360969877,484.88596892443695,485.6617057274065,232.3957860625647,
378.84768040232746,289.11729529457165,467.37388182896683,445.56532651622234,205.29445965151677,
362.23019523184917,254.28203381245555,435.26126317459017,406.9891279647893,197.9664385495165,
339.7600360163407,219.02292678566994,396.87345523259114,374.72985136729415,182.92541783711806,
306.83484753363007,203.41718501968336,364.09333800357723,336.0757785261959,181.94642154864235,
280.31531623873184,185.6458937815391,349.9191641879333,309.7071956840054,172.27025486550983,
272.2511425050236,172.15221161519338,331.3040629830606,288.6149562547138,168.70468977852195,
258.4188890869945,162.81329248252234,311.5832696743274,279.157505540873,166.52312802227837,
247.0395594925022,153.71269624089874,303.6066667588,261.7230498543649,161.10454026736926,
227.87111306851983,142.7045309941589,282.93651091698524,246.42411112873967,160.38171500949042,
210.43826772211398,139.02681916153372,265.93416588746084,231.0384382261071,155.69335992781822,
206.24021503886397,131.89238057424436,244.9983879639976,210.3472767063268,153.91513744361447,
196.37582314808773,124.47559098603591,233.4728140575993,192.9577570126701,146.55523293320994,
190.2342965432232,117.75677626939797,220.33229009114436,187.76874473701233,139.56622867485095,
181.87329046753842,108.89895142516932,207.48065049158924,177.3193640479493,138.249287427885,
176.2103076013019,98.76492561612879,200.3208226052627,166.02587294813597,130.9284194893309,
170.77345793075875,93.09644226980944,195.5098241108827,154.38646627134892,126.75039195043993,
161.9140140547011,85.02680828153355,185.7678400128778,149.52082322687212,121.76921190968204,
156.0201675272895,82.35685010380594,180.4322982019003,143.25856686162857,115.6911624089724,
141.70003559231353,77.96357291275417,172.15659424315237,137.06899926156908,108.02952932745589,
136.88759553668908,75.0120108285818,156.14472408591024,133.8571984990162,95.7283030752115,
134.95372509432153,67.79714484556155,153.80160083114444,130.15950283838595,87.29957176549802,
131.38381527914026,65.56557113324287,148.5279514847298,125.60382911025485,81.77251192513842,
123.24155886688074,61.14074624562454,145.67396269595142,112.04506742301774,74.71643164218939,
116.67874618957421,57.09116485906398,140.90315883120104,107.55158824422345,71.90592012854509,
111.3421612137797,54.439872931645695,137.5839502892067,101.17869058243329,66.44916217182197,
110.78408633913325,51.91671280204624,135.82392268221665,94.39052758394365,62.06329835155326,
104.25786875151279,48.65290761654024,126.39590836675616,90.32286195530283,58.45410395424747,
102.8833357473159,47.34244448199844,119.83258988312429,86.12949462981757,54.06660552103367,
96.66369777837069,41.771282101339914,118.76752900862485,82.91313053992242,48.24469415399066,
91.68166564618352,39.77651759554268,117.62180888587403,80.26545707803474,43.96086758162189,
88.46566435726145,37.4661714062913,114.75886202912507,77.75695346293105,41.39329034389631,
82.88472439642167,36.59519402324493,112.60191333705097,71.46624225791113,39.066739547975814,
79.90175598323184,33.31736969489529,111.4377372665406,69.33325427131545,35.41885958363346,
76.38504791860224,30.158780708019442,106.90949470836564,65.72812878167002,32.83460191943752,
74.20031099414261,28.519904221970542,100.4369532825507,63.60598797473259,31.513610222428106,
72.9775853942589,26.60880913018666,96.77790099684235,58.37859768610336,30.330558904942663,
68.83825055488369,24.84084694426388,94.40205583409171,54.374119401579286,27.948469142708596,
65.64573982155162,23.577317798847655,93.32450986893159,53.54045374601942,27.712549192909524,
60.423247263272536,22.728167757022465,86.92064754018223,51.9763826460995,26.01908569792508,
59.05976968381378,22.27161718559266,82.8975883879241,50.20027353110641,25.41103570245348,
55.29751241523426,20.65177775301585,79.75468639535998,46.919725596722046,24.961286828647758,
53.523253313321625,19.31717512210364,76.86490417450457,45.02195972835286,22.332046617887386,
52.009254976579015,18.690672369616774,74.23006816904154,43.85946759486576,20.56280993718602,
50.032866740192404,17.499548468529746,73.4899836104705,42.569251481726546,19.287137042893526,
48.71138526078975,16.497296952441516,73.33328983756986,41.49407288506781,18.33609830577022,
47.97589619152333,14.878816762058248,71.56281674679892,38.63401974834615,17.54805201720121,
46.48919763042856,13.76939030157683,71.35171953420726,36.05186720376791,16.296858343474888,
43.19043105957883,12.680134929997696,71.21506409777204,33.5581446668649,14.994150261826869,
42.195100430168644,11.626432231401619,68.91281380469415,32.703956430205544,14.160928523651696,
41.724318404875355,10.902877281697966,67.85180690512783,31.464178269612205,12.580434844961252,
40.824424084915776,10.065862390266467,65.22562637848674,30.398556985822122,11.722460424411736,
39.82508503101376,9.628595260903673,63.73523124337086,29.986044463805296,10.527856958972126,
37.54513094863979,8.864089341385542,63.3254515145578,28.557178740756928,9.884760091344129,
36.44257398354387,8.483217433045708,62.68315316928435,26.992179927231994,9.091388468754044,
34.98156394225677,8.047328707093545,61.93757152636096,26.273002920537703,8.606615350203985,
33.891125248915486,7.454195630217108,59.37535666223285,25.67726424515873,8.201083137522065,
31.825060186425333,6.957411835817785,58.43446535458918,24.49424216877048,7.139195882740492,
30.989473697984426,6.78849521152259,57.183429609223936,23.993908873244425,6.750483513856753,
28.814988289198865,6.611763276287337,55.720052143497725,23.28777244869563,6.29278579194254,
27.16830564885934,6.325701216379396,53.27879802341315,22.535436648921966,5.876643356079242,
26.262969021777312,6.006484669521083,52.15877179472124,21.954870699145385,5.6186794278712675,
25.436733417696452,5.911645852554122,51.262705136675876,21.35971604060087,5.2548435659709405,
23.720268266801952,5.556272399892257,49.23559181173782,20.41673184391869,4.632664273878644,
23.268466510343693,4.804152492367198,48.04293844205414,20.29381018439936,4.300436637309331,
22.32023970184783,4.5719563397507965,47.42948792470161,19.9387809689923,3.8419809722401452,
21.699762226635766,4.344849697076316,47.206699550624464,19.522488103999333,3.6188749486608254,
20.11186584269593,4.032655543421581,46.02018169756161,18.700329466714585,3.2975705374899564,
18.522751000927904,3.8547014080445483,44.53672720216764,18.301792336104633,2.886602362884635,
18.007217084763106,3.7579340969917254,44.48106018914621,17.463862015314177,2.516136924016604,
17.20884977417235,3.5928960499679317,44.228184459448556,17.275916503945716,2.431800386426359,
16.860078856327114,3.5108173174452872,43.0589971796963,16.845418676336422,2.26579553832787,
16.289948526234856,3.411132674489715,41.64506585728692,16.59486460654314,1.9896081055177772,
15.951851173870264,3.2152065988968923,40.16362676956037,16.209459357584265,1.6697521644791529,
15.580043031231195,2.9200866678580697,39.006830273799785,16.037690610926465,1.556721685385381,
15.109571855055565,2.7414564072321626,37.42359444599842,15.18937336185398,1.4018243604296627,
14.48742751554077,2.624862188948632,36.39566472856275,15.014426487667183,1.36587834560886,
14.089785061358272,2.4612212387614028,35.98423930251856,14.317744051709045,1.1811030425353883,
13.072456730282884,2.356150080727162,35.811556138954785,14.016414645594597,1.0680220622012182,
12.756705621869733,2.293626057763332,35.21362324848327,13.675551261718365,0.9250799937379662,
12.406918650392148,2.160045413202488,34.8366593431261,13.20335583601794,0.8038746918971895,
11.524627420989189,2.0788655502365563,34.247754447508264,13.006694923151093,0.7428009320353693,
10.589085204393337,1.9798307236491204,33.82339700693165,12.638777083632585,0.652659794127411,
10.137499950830117,1.7903732341839143,33.326033058117396,12.50604340110697,0.5939575974863384,
9.402838961077412,1.6830009199325597,32.43685698150335,11.890605487024578,0.5371791159212217,
8.885419208435742,1.584520521735186,31.515365602586375,11.821643318119284,0.4868879459019179,
8.728581074824337,1.5349098232344032,31.441168428396264,11.705980410489234,0.39160989872690255,
8.530770409329376,1.4086949936858761,30.621791316203208,11.473890689195468,0.36478585568150385,
8.425059630692855,1.3454283090723724,29.933369696769084,11.029218379220007,0.33250244285944436,
8.266026806629874,1.3124176420109428,29.812184655668634,10.825759140390401,0.28783813004409686,
8.003652719874193,1.278929537658098,29.246826471135858,10.515202183430896,0.2530815280754787,
7.821511965894312,1.2400559981969732,28.27104003331847,9.574469176248288,0.2219528891943248,
7.778172841470491,1.182352628712977,27.719551318554085,9.308188179758458,0.1819799694439609,
7.591093446306163,1.1340408635129922,26.94748285625228,9.115870295884008,0.16362001673497067,
7.434571009308908,1.0963399632562105,26.433306864759235,8.980718608640359,0.14563429795962238,
7.358784999274588,1.056792453856194,26.247478888823284,8.627400011656608,0.12642119094458948,
6.981349125039581,1.0155348603774954,25.823823388908945,8.502550824383073,0.11672834007036832,
6.7507465042247805,0.9461385605249528,25.54781397594638,8.276137349975023,0.10274461768351685,
6.648753018451597,0.9015446945793945,25.203029962570223,8.041914875939284,0.08850288168825836,
6.62395291658273,0.8786905798839028,25.125689540122014,7.783680972983342,0.07907099179990056,
6.359563341064516,0.7917770246893546,24.821423968184583,7.651095280562917,0.06739696987500551,
6.1228983934725125,0.7455400702005452,24.7224625945394,7.464542314435609,0.05290588861852848,
6.024764809707379,0.7044703480934391,24.021089175069672,7.132243201821042,0.044767931585262905,
5.717458493834791,0.6844794418890725,23.675937120733238,6.764777429307804,0.037387866920562646,
5.592155995964062,0.6684459522374342,23.49519686342479,6.42213587351013,0.034247695073353936,
5.474552490962398,0.6184236490923223,23.243983161760532,6.260637150244587,0.028858006668446755,
5.399422022681909,0.6005084079805495,22.94746906145244,6.0771095189016595,0.02590795294212141,
5.271882060785363,0.5592679453682106,21.61415083229347,5.895342248138166,0.021877499259440162,
5.1902120296419145,0.5466618736668267,20.896439741045256,5.787855794640536,0.019112170826503443,
5.006453664716049,0.5244612873907397,20.74360412084726,5.73128105089448,0.01663493613210194,
4.8503579126580965,0.4924390678550422,20.65708414572618,5.4099796722022155,0.013406788342208247,
4.7048759481704705,0.47072638660530186,19.397303577597583,5.323787359406899,0.011375838186696356,
4.575190235284264,0.4576263683785113,19.08694241745994,5.15278373239938,0.009816655519563134,
4.388780123645758,0.44522656463481236,18.97224739846439,4.8675418415699605,0.008536694745568563,
4.370165311243212,0.40575031758411534,18.386644775254826,4.687866416456812,0.00742902662930221,
4.199305590506056,0.3918478619345325,17.602827318243133,4.523072990271985,0.006152686347204282,
4.158215461232558,0.3841905717474257,17.144260913642185,4.445638112918598,0.0049525584229677625,
4.130951170239007,0.3688702591308829,17.059168991022432,4.19841130907568,0.004067437804305091,
4.109532095440937,0.3476706889947927,17.00864673907146,4.018855387794728,0.0035590491192175502,
3.916099485574492,0.34201129419554527,16.474849843699516,3.855035777952571,0.003216872775306299,
3.8267272736955538,0.3210504458213517,16.21035708741469,3.6349665501753674,0.002981296674541564,
3.5905055226055396,0.30462387348268377,16.170378642435015,3.555796516795284,0.0024914188048183296,
3.464943039420114,0.29760661422476636,15.476811577876562,3.4031392863799277,0.0019407466453887831,
3.35740274203794,0.2813235922946698,15.346491170652321,3.3696190118009812,0.0016290138598883776,
3.292838923569489,0.27650660708135644,15.157624942806063,3.3016520048373925,0.0013347340941007864,
3.100713018416995,0.25617942786515135,15.072271601931279,3.2864354264461846,0.0011377637693739159,
2.935672893518142,0.25104883984010057,14.681205736707744,3.2453528260612927,9.637346860710839E-4,
2.814606331842888,0.24486556982864832,14.362808864771758,3.217135883496864,8.2140098247806E-4,
2.750158210661987,0.23415452722362642,14.173307275720893,3.1304987589518856,6.774793525340455E-4,
2.641772735690393,0.22779659691465357,13.963198622351653,3.005035672877365,5.663718922564143E-4,
2.6135219939316965,0.20540685849780005,13.663651959790283,2.851741721345255,4.5190848053879945E-4,
2.549259012382296,0.19634754920016478,13.21121718810722,2.8083424858860013,3.924233987400545E-4,
2.547649972339621,0.1875319457439913,12.838402100045677,2.759343427849225,3.214013928760813E-4,
2.5176748178549437,0.18047003798860226,12.545514624146678,2.61779531032515,2.511495166553397E-4,
2.424316721403381,0.17771396712748405,12.253904715267458,2.554912509178159,2.2485476291763027E-4,
2.3943185646500114,0.17119618875221176,12.067387418171416,2.528567695695702,2.049640494177003E-4,
2.31422333578942,0.16561061460670715,12.0239674516936,2.4720176558812375,1.6770958949513995E-4,
2.2844076113428025,0.16216460339265942,11.559051954674015,2.4094713413275293,1.461457101015787E-4,
2.2476258811529575,0.15917419611338607,11.260806757234798,2.4003049946213166,1.1901602601193848E-4,
2.161420509341762,0.15742905854294062,11.218942038868098,2.3781962225353794,1.0112552527162938E-4,
2.0308312656744,0.152210168755534,11.214455661937897,2.3057195397045955,7.437184278626093E-5,
1.9614349142684437,0.1456104146948624,11.19097798826998,2.27719427477394,6.843104304814492E-5,
1.772899530633974,0.14330341287068515,11.154347507389478,2.239988514610865,5.821304305326529E-5,
1.6920790405488404,0.14162895918162136,11.118705961621504,2.180503211367501,4.7155069369921826E-5,
1.6123324923153248,0.13392248511265165,11.11574433550823,2.1564751562419295,3.646590265530278E-5,
1.5607357247950813,0.12992655459089786,10.90076570293184,2.1515776277639773,2.700450382262749E-5,
1.5229725246875543,0.12350767531399583,10.70067807334513,2.1186445680483215,2.348111485439574E-5,
1.466181111225485,0.11897967358023082,10.467682540194975,2.0877312217610076,1.9582293935175563E-5,
1.4306198475832115,0.10993236361713334,10.136476889083147,1.9844127662498996,1.7013583443395364E-5,
1.3898506702716087,0.1063703794207155,9.963732998727837,1.9363433483601633,1.3795689827749807E-5,
1.3192266001914643,0.10446626760693929,9.839192384151547,1.9017842718493105,1.078009915718031E-5,
1.2622332601369846,0.09990018506281913,9.655763687201846,1.8522398825678905,9.19252895962458E-6,
1.2075171253986747,0.09659982733774232,9.470951068745041,1.792609892453048,7.510980255729115E-6,
1.1152828784546267,0.09566910982969233,9.045425616185264,1.7093855766036385,6.36304471094784E-6,
1.0743367824726042,0.094695619264653,8.834437971426889,1.6708102235405669,5.490291439022449E-6,
1.0275599257040424,0.09392748832466728,8.459401770986366,1.6421548182388128,4.386167155578297E-6,
1.0008912925661775,0.09314938756582022,8.429326328816302,1.6193408920977665,3.627093046844618E-6,
0.9997782734106341,0.09149528252683613,8.301827294045129,1.521043469188878,3.0459946922952117E-6,
0.9724323678839254,0.09002894917833056,8.2667981002762,1.462665957793546,2.446146409160538E-6,
0.9438908454967392,0.08666400947751236,8.14114421338845,1.4545010530939348,2.007478914143836E-6,
