Origin,Globe,Star,Grid,Star_nop,
9449.935627549894,9377.895355487324,8883.585038112225,9729.108444652842,10124.138075180103,
7820.990795038639,6711.362506996107,6811.691404353051,7414.389491983468,7094.158248242417,
6153.918586390965,5140.650968765654,5126.201660432533,5992.8562351398305,4299.773152208201,
4979.590379598224,4140.84836044101,4281.319384898542,4773.574694878232,2858.0246164329164,
4031.1182531286495,3394.327487601114,3509.0777185504585,3970.640698757317,2212.816031918881,
3553.071195071919,2866.277150061322,3084.068842576998,3464.462730535803,1772.909545546901,
3147.6920415013096,2466.5296265647216,2819.997088820491,2881.658970382611,1531.2494247721722,
2827.8826960982706,2209.451387901216,2605.4099576065996,2616.641995268959,1247.7379864841198,
2524.30139942901,1865.7252867947304,2202.6007911699617,2327.24920271996,1141.6393559403475,
2330.8064409065423,1649.84704703527,2026.7303114992596,2031.5894732413642,1035.8817477722296,
1992.2859938244615,1419.5788799128572,1732.3886430596472,1902.90153129843,905.7879652776852,
1712.1925010378154,1350.048427382079,1586.251598933926,1788.3930444208308,875.316455478665,
1506.5573550286313,1233.2062951265502,1483.6898844125058,1615.0722980871128,790.4392838043799,
1375.1307277407723,966.8934874428214,1268.2557367025522,1490.5522889168917,696.8887806613271,
1280.0772736953156,878.3706090526329,1163.5246652521807,1341.9273168451562,653.1262069847793,
1134.1010702139013,690.6660840891814,1095.2190212139153,1230.966209242866,632.1713623492283,
1023.8761438600962,619.367745769857,971.9586507662548,1035.8144949625091,597.0041993752565,
964.0714203605356,541.836094368158,939.3735604449286,951.0835749733942,581.1776595878089,
901.1084025512588,466.16099592540036,897.4422416023533,873.6350475421916,518.367196894363,
798.419446014966,416.03189470756143,859.3274164948282,794.624156547748,466.55458390126137,
715.9046249226386,382.0388987590342,769.9505101882208,691.1348828383767,445.78392442400946,
687.0187936752446,353.8475818949064,696.7718436688206,663.7536383102141,433.2439100078131,
648.5032007755133,320.72538667792077,657.0341190737532,616.1999125780453,418.8741821385349,
613.601391258698,275.3492677837558,604.1116130014951,559.4126284087604,404.6603042393412,
568.0923829928884,242.23996000672818,559.9301000569784,494.87175178205257,394.3667463243748,
529.1789903936162,227.14312954526946,522.7334219202768,439.2308505746207,377.6933063148701,
494.3774734050011,215.05114531089768,492.9992584749898,376.95931120853584,360.815630390555,
465.767764437617,187.48399702373004,462.5403579866705,348.65096129085856,340.99086620924743,
425.63364040251156,157.91852418162733,444.86784825105923,339.8729073305141,326.64783796521687,
