FullyConnected,Local,Grid,Star,NCluster,
79.24290177242123,76.33925074578109,85.43579205855336,74.0106236109302,74.72730802997415,
9.656325069638312,48.2583850103792,13.333518046018542,17.59119037930418,13.397399789981543,
6.045443165287756,34.028582758931336,8.054111524981733,10.212765111189194,8.14834125937973,
5.033559029714921,25.72285768476087,6.557072648821137,7.956657041159798,6.049432673910655,
4.310388218750666,20.180524909886135,5.713241298851532,6.36599453859967,5.145262951585277,
4.073087331212995,16.20554853396311,5.228828211739075,5.558817244184461,4.605361030407797,
3.979090442019128,13.270147807875002,4.955204175841303,5.0348220588723,4.364627303787975,
3.7272485419142467,11.954899042299623,4.6464349487881105,4.6028249740319325,4.152864668390238,
3.4732228669338956,10.700781602895834,4.308620293004781,4.479747024068701,3.8972050400772154,
3.363841870729213,9.78479216590593,4.047679855857208,4.363813864078427,3.732368730566947,
3.2649249410173438,9.017208348918338,3.8187414956338035,4.290539401963951,3.576698139168277,
3.1175199317284714,8.320261417990947,3.787939900458065,4.16951044766739,3.4665707710861424,
2.989650563926381,7.754465101750373,3.5912829100877355,4.091879795112254,3.2687432875080464,
2.8819572371022937,7.358069192232217,3.567133846961708,4.003158023277325,3.1138766198069177,
2.869048867003713,6.932453869554364,3.5631281069713743,3.9546381583724206,3.040725536637475,
2.865350040806907,6.569744762177342,3.5366501519051954,3.8832039746738505,2.9552911371507826,
2.7379488186590213,6.14473560907702,3.452857621778944,3.7405401406648853,2.8984964974180243,
2.6653356677781277,5.752552125312247,3.448859528172874,3.679585272778275,2.8592430405868554,
2.599722456682629,5.640337032178949,3.411580498580304,3.615087032693846,2.822862935868163,
2.5961543241429976,5.424992134140421,3.402051186389876,3.5026169375643343,2.7944811963803695,
2.5649525877229737,5.327251857827419,3.39181062130564,3.4608798034265718,2.771226201742032,
2.551270436788284,5.1526931754633845,3.336103648530458,3.385813867219379,2.763724311875605,
2.512348671882935,5.075171960423758,3.2501976715143597,3.3784839915119855,2.7047914863200555,
2.5087836969724107,4.850232189812242,3.121791826262653,3.3566044924375884,2.677478121520389,
2.436330139273087,4.695432344806516,3.0559139243840217,3.2883526882855505,2.6282771615574156,
2.4261380257782807,4.602040580091917,2.9992814430609505,3.1737708833810174,2.6238868898632592,
2.386171841373619,4.461803675234486,2.9213055824668146,3.0746580998926873,2.5786617615861074,
2.383603339840579,4.32380611890394,2.8799420466559904,3.0516006339913435,2.4792994173164695,
2.340844864055509,4.209986485562338,2.847939101099117,3.025403301942708,2.4616538623929896,
2.332654624931984,4.199395405114581,2.802606798492025,2.9589495408084265,2.444677392449146,
2.3192440255770945,4.063439140786816,2.7197600077622734,2.914349053467783,2.3888016222662274,
2.2784991297840707,3.9689164038859146,2.657388176677901,2.8847008861521464,2.38312834273097,
2.2699373811897763,3.939128112860414,2.6378023767501255,2.867900931184265,2.313592918692041,
2.255502203053146,3.865365916610284,2.5947446790279156,2.867900931184265,2.259144822514408,
2.2165570007117634,3.6954312008864347,2.5861025757760205,2.8535369945293985,2.211106337002472,
2.133332644125263,3.6223284266335116,2.5861025757760205,2.8011638449673852,2.1720487482959117,
2.1098687334693222,3.461727148984814,2.5414018521600874,2.8011638449673852,2.135365166134277,
2.0960201670660186,3.4334053676466736,2.503042510267964,2.7906298422486198,2.1075581142612463,
2.0960201670660186,3.380744676757476,2.488830584315568,2.7741370887311807,2.0666249730181994,
2.064235747292036,3.3434331591984847,2.4723389670845424,2.7333187974687787,2.038907556170569,
2.048421605037873,3.261946628516526,2.4480793925228324,2.7222466436212014,2.0203125248057785,
2.048421605037873,3.1761391447829674,2.431548191517416,2.6808704903601663,2.0201939377647222,
2.048421605037873,3.157289465505464,2.413976179035708,2.5771629153798945,1.9953036165465232,
2.0296039580901573,3.089209593899319,2.4032240044255095,2.5030268146922157,1.9953036165465232,
2.017823485265706,3.0544517017310784,2.3712099479123556,2.4554618755236515,1.975650832056716,
2.0177841109903283,3.025743014027438,2.3050013944554433,2.445284363570532,1.9369404464875675,
1.935571838033667,3.002010449716937,2.3020473455615402,2.403538742213316,1.918809258952414,
1.9221305559470057,2.957165850577478,2.207276095590179,2.3967765370424368,1.9077168462520968,
1.912064605614364,2.9289381449850764,2.1848885265459836,2.338402233637553,1.8629139771045606,
1.866200493994833,2.9055622760778346,2.1848885265459836,2.27308001987757,1.821304495000552,
1.8105962122602877,2.8867791009483756,2.1326368942847105,2.27308001987757,1.8109377554962558,
1.785822502667417,2.77079570594896,2.0754284836583183,2.256358766596747,1.7933388034094564,
1.7779608546651777,2.7293473033105573,2.0643355036974307,2.2423422035591587,1.74074158483236,
1.7446219196919368,2.7038750566356953,2.0521030728669687,2.1893845070582074,1.6975574120979682,
1.7145764451741272,2.6904707283618783,2.043086375805471,2.18124110759852,1.6831054791071913,
1.6771248553940596,2.679227879891195,2.043086375805471,2.1632628979536883,1.677858982807715,
1.6553898899321515,2.6574347709281123,2.043086375805471,2.1632628979536883,1.6728769126751961,
1.6023046892012096,2.648274237399531,2.042269863388748,2.1416697956069184,1.6678088824309694,
1.5947194613078801,2.625533799863402,2.0266888149788316,2.1416697956069184,1.624067430791697,
1.5745352570766329,2.564484842523617,2.0162245995301045,2.1230594770293063,1.6150584884453465,
1.5324275112178556,2.5331261245572665,2.0162245995301045,2.116481116880458,1.5969911518732176,
1.507122298782724,2.518301205899695,2.002472722111796,2.1126743119565785,1.5881528340755957,
1.5027460873031395,2.461753736054382,1.9888199554319397,2.11219174631326,1.576386725789659,
1.4920770894665767,2.436819683121606,1.9732574012855477,2.11219174631326,1.5638139377953308,
