FullyConnected,Local,Grid,Star,NCluster,
8884.279971732769,8646.535901709873,8781.027593062756,8712.312814494626,8411.740485766722,
6523.183836568598,7399.259181967134,6975.800714909085,7254.161619953962,6471.957713808678,
5351.704558440818,5973.116678889971,5906.298008713986,5886.442197114759,5360.068086118221,
4231.832003289127,4848.035148988798,4542.116468288512,4536.291400720311,4405.597823560717,
3608.670747986714,4193.584234467441,3895.45295175204,3786.8156309383635,3742.874225879558,
3017.7176737709005,3769.4815439309227,3390.229209900741,3449.392075456954,3362.278975087434,
2805.0419475744898,3500.300205041812,2840.5058849038355,3107.44495419822,2939.2274427104694,
2440.985650999275,3335.0536574393855,2469.3031741925497,2721.1952191075206,2551.008646301976,
2148.838346956524,3274.3412563119614,2093.439469757752,2604.8236184752377,2246.3041284564174,
1753.542127934903,3196.5422760258493,1966.6699845705493,2238.186792761677,1929.6108622688444,
1513.1788408500872,3124.1720189686516,1776.9607308840482,1968.545503156172,1648.5409435078168,
1361.1688075736204,3092.1226504736933,1527.5633779644877,1704.4675739915342,1571.7450755873665,
1262.6599110415061,3080.8347162342643,1353.884307883693,1524.0317670664551,1441.631429998023,
1117.8134138240898,3067.605814998084,1165.654739934662,1500.2574256276469,1319.970201156403,
1078.6057739574321,3059.6483708410524,1091.152511571758,1391.7205118146808,1244.3695022481722,
952.4184249634802,3058.320019652442,974.9725870330929,1316.3708855079997,1130.5643715446834,
875.9333479913105,3052.0192417961534,954.5625644779716,1244.4629707816018,1052.7081688083238,
806.5450320285951,3051.248309148903,875.3152734212235,1160.3393233843237,921.6598903146325,
754.9261793188854,3049.3978646447868,781.4130186357296,1105.4137032047984,859.3753183474053,
702.6698789338716,3049.3301524905205,692.1747703116539,1048.015695906993,819.0881542359443,
654.4453538709608,3047.940339004084,637.9040803612003,967.9962040449713,748.7676956499218,
629.4964944524337,3046.186835442694,605.7922212947709,868.0833148599867,657.5567796790018,
588.6250358119615,3044.5297713140776,529.8589514428672,813.123479054996,594.6784856321289,
536.5863233389615,3042.644913359619,483.26579846921385,794.450822623894,561.4501715124666,
497.222202941222,3042.219295070565,461.3566010191759,728.2456601657902,533.0881919392207,
476.5272604826711,3041.5720043995807,452.438889901684,700.4765736089773,509.0842149921875,
448.3220467945428,3041.2825353155954,416.9941625773077,629.7155930925933,487.1511797854427,
434.7101672077746,3041.2765267796185,375.8280029363389,565.2157879505814,470.5031838903741,
420.4170331675614,3040.919176943186,329.2888294713977,505.5603497050557,426.6964169191018,
391.7140881406211,3040.8942612528467,298.7941565833252,418.1483098905276,395.0002490572911,
369.6399979617805,3040.8839024145855,280.6906217574757,372.16518654482473,374.2888628872313,
346.73919867746116,3040.8819692560055,270.0985455347755,355.5591562447965,348.1457845560971,
313.99148509165803,3040.881504900403,258.19391365592054,333.4855578182234,335.8200554979513,
294.43314457487554,3040.881392773806,237.07056161595955,313.2331221400835,310.9287257152663,
281.59427527862175,3040.8813658965764,215.54127855475312,294.246188947344,293.19840405769816,
256.8822640532015,3040.88135949879,197.65336518183162,278.55424494064124,266.86150844783134,
245.33143427947343,3040.881358003577,189.4327533133614,262.69766845566124,241.23996216894096,
223.9195143068475,3040.8813576569087,177.37500077309167,245.7520885084155,226.79175893238582,
204.08182599834666,3040.881357577455,168.954479972399,227.53110429757504,222.00843848707643,
184.1231932310075,3040.881357559456,158.73035145433212,222.22715773581007,216.39773358113447,
171.93416238222423,3040.881357555425,145.05659271958046,212.37476148329193,207.1250057588277,
155.7029017660695,3040.8813575545328,133.83281244573445,203.85667080204647,197.4054173781078,
144.94524969187736,3040.8813575543377,112.46346592913346,195.98487540100544,176.65687164828526,
138.82249799151262,3040.8813575542954,89.85839206970245,191.55696711074518,161.87522995454785,
126.60597370179673,3040.881357554286,85.2755731256964,179.14110780191905,155.91305635026956,
119.5269121515673,3040.8813575542836,79.0733682436813,165.33156544323592,135.93011836677655,
109.97532215173783,3040.8813575542836,77.15815817796235,152.57537399710105,125.9805309908498,
100.0019547810557,3040.8738590847474,72.35381548985414,147.9265034547822,122.39383649104782,
94.92595225973056,3040.873859080031,69.5123329911703,134.53977495746253,108.52671213082864,
91.3269207544188,3040.873859080031,67.96162913182978,128.26407705798613,100.94934544643884,
82.54618495452641,3040.8738501856405,62.40586250443195,125.38908705904701,92.12909402631472,
74.81739312381845,3040.8738482814597,57.51772296012152,119.74685640103266,82.50321888931201,
71.0771168772916,3040.8738482814597,51.515319649933424,114.38488296840612,78.555026504674,
68.11174387646295,3040.8738466087075,47.20075756116736,107.98596699856549,74.2777307269498,
62.761990541838756,3040.8738466086534,44.7537660243995,98.64038668260721,68.65678900338148,
55.97495015490587,3040.873846608648,42.686626946136705,93.77738120125575,65.53443477732142,
52.3427666495231,3040.873846608648,38.627868547156886,89.93756563641097,61.76515056009285,
50.069755810424866,3040.8738459961583,35.15754377139761,86.07750959450689,57.31594074694062,
46.891459849584635,3040.873845964045,32.00639255109442,78.6155950429079,53.56545718130345,
44.7962491048561,3040.873845964045,29.385885996513018,73.59871372588421,48.07220964485183,
41.96161697317347,3040.8738459483243,27.85449412697026,67.11459911495841,47.69397920340479,
39.9592319991237,3040.8738459483243,25.833882079705702,65.04882127693573,43.049598840085636,
36.97413947973466,3040.8738459483243,22.890774212451245,59.14931836284529,38.17119428794772,
28.085484990261364,3040.8738459483243,21.55524291264126,55.323097937647326,36.11846812824378,
26.583893189229727,3040.8738459483243,19.724535085059713,51.18893198956166,32.03451565630531,
23.73375339516011,3040.8738459483243,18.649936030733134,46.37727395579802,30.888895826842255,
22.034174631445318,3040.8738459483243,16.490290728218334,44.65191771336253,30.308134384959562,
20.801209300875787,3040.8738459481365,14.5212173408706,42.90790285063776,25.649655617359386,
20.02482450952042,3040.8738459481365,13.878576712653608,40.9047178220729,24.305029823396147,
18.90567667126286,3040.8738459481365,13.24359375578718,38.70450899893519,22.749863949640872,
18.25406253705257,3040.8738459481365,11.987637205610621,37.81603224941261,20.855846725536317,
16.76521947556778,3040.8738459481365,11.094890091372017,36.754492546303325,19.103713518046643,
14.568724005645988,3040.8738459481365,10.000328427348268,33.81675641295655,16.92228156052619,
13.627519284630097,3040.8738459481365,8.970035737759078,31.967756802130854,15.984098639096338,
12.103709238720096,3040.8738459481365,8.189171386356236,30.200996345827487,12.514293385481079,
11.5203713916471,3040.8738459481365,7.6254625697185,28.279393574119936,12.112227644276446,
10.962468265484729,3040.8738459481365,6.956758333720995,27.29260371179835,10.492850869818549,
10.205467479551528,3040.873845948126,6.457916915708455,23.27258028679574,9.976588591255991,
9.500376496531823,3040.8738459481233,5.852683639467559,21.714981311048074,9.566288278005874,
8.798846539015175,3040.873845948123,5.509945344600928,20.223792911706457,9.22846710645638,
8.328570387630306,3040.873845948123,5.191082140937359,19.280707257336477,8.734819117306147,
8.021626686658978,3040.873845948123,4.612458221797989,16.2310359081705,7.83893598867182,
6.952419037746137,3040.873845948123,4.343439211602405,15.67153529116951,7.078768513146477,
6.400256092969457,3040.873845948123,4.088591487387829,13.822996099046895,6.628080902826373,
5.461207714096626,3040.873845948123,3.8911151378256794,12.570494057050473,6.113601510150159,
4.559052196919678,3040.873845948123,3.729996347657031,11.107321923943994,5.735060642721105,
3.7486215127144464,3040.873845948123,3.223545796199096,10.405269401549882,5.203074741761516,
3.3487686626482662,3040.873845948123,2.8858245357842156,9.879809290606767,4.650505017660489,
3.10885778946092,3040.873845948123,2.61279400835306,9.459023257922842,4.292371605786761,
3.0072776671509662,3040.873845948123,2.3044110645499356,8.759716332521235,3.827680732596586,
2.7152878909261196,3040.873845948123,2.080570969532926,8.34733850320389,3.6177350112244495,
2.581990451885453,3040.873845948123,1.8310078871690867,7.666150960727825,3.232475872069076,
2.3600729323795275,3040.873845948123,1.6622259799690517,6.480606372655042,3.067912842510478,
2.110672144812002,3040.873845948123,1.5100431672542205,5.454154331253891,2.7924959852461813,
2.0678135289609525,3040.873845948123,1.3806276716673163,5.12177932338751,2.707349623724465,
1.954801184049427,3040.873845948123,1.3076486821696727,4.70647107736357,2.377852399988956,
1.7017594055114564,3040.873845948123,1.1996233831202867,4.545146185668996,2.2545562047493477,
1.5881219483637812,3040.873845948123,1.0931332118735309,4.024916866064129,1.9160364432196844,
1.5184384227718182,3040.873845948123,0.9952572307567783,3.9086246969436074,1.807873221176474,
1.4637718190026447,3040.873845948123,0.8670950126497144,3.7300627186485813,1.6793309215343133,
1.3918349621496053,3040.873845948123,0.7518579234001854,3.449066206973188,1.6120018391507576,
1.3134310447037232,3040.873845948123,0.722257110771063,3.251227345829351,1.5061048689605925,
1.2123681145632454,3040.873845948123,0.692535860998529,2.8892112084578363,1.416640623739693,
1.1281774561621678,3040.873845948123,0.6747193761907548,2.6849155239574722,1.223484035310483,
1.0597560483148432,3040.873845948123,0.6343143354565227,2.6697966946077765,1.1250499497259254,
0.9696084053148671,3040.873845948123,0.6064879220465386,2.3896626541875294,1.0388950635992342,
0.925958657853377,3040.873845948123,0.5762956814024848,2.2754797291931603,1.005254584220326,
0.8648691571653123,3040.873845948123,0.4988361812662672,2.262730828591383,0.9173480014480441,
0.7938182982514241,3040.873845948123,0.46115788819929177,2.2253726059156493,0.8594323867239607,
0.7398702994492854,3040.873845948123,0.4370828236516701,2.1459310609758893,0.7959421249829499,
0.6992174001959003,3040.873845948123,0.34940863981633563,2.006413979135876,0.7325086860967527,
0.6260381854336415,3040.873845948123,0.3293847143797487,1.9167496024595605,0.6919602599881415,
0.5784484467401941,3040.873845948123,0.2889887539124794,1.7293083169705634,0.6327399614178191,
0.5134481150014664,3040.873845948123,0.27309104964143477,1.6781254096993494,0.5176663365026486,
0.46121528215960456,3040.873845948123,0.25933867587256915,1.492261681132887,0.48900278839248235,
0.4157768646833326,3040.873845948123,0.24413554858031228,1.385228396393224,0.44075901414596824,
0.3826626002919779,3040.873845948123,0.22837201764083867,1.339339980160531,0.3907989372779329,
0.3427045520226146,3040.873845948123,0.2085819625143799,1.2518052517896892,0.35183238383350873,
0.2986433360555895,3040.873845948123,0.19126404345634684,1.1826285543624095,0.33517727820556203,
0.26174896887397153,3040.873845948123,0.16822067670554738,0.9191197633449579,0.31797433357190674,
0.21735173874210867,3040.873845948123,0.1524213457582209,0.8314520844965858,0.27179742284998337,
0.21165878076080993,3040.873845948123,0.13537832128694896,0.7603319366615211,0.2511255003874526,
0.20187738240104877,3040.873845948123,0.1270474271839506,0.7296311333835843,0.2387500703706477,
0.19759585263790896,3040.873845948123,0.11738434869080416,0.6831422814956459,0.21736390733448493,
0.18974789805155864,3040.873845948123,0.10552021406049115,0.6252256074970313,0.20151901326208083,
0.1703625225909498,3040.873845948123,0.09210622052237595,0.5024948690227393,0.18531316888150007,
0.15671004741208827,3040.873845948123,0.0746285188070186,0.47096525239406223,0.17358906047131517,
0.1396082431524776,3040.873845948123,0.07137269496734641,0.4280754954031647,0.16143933323570783,
0.13214935515419818,3040.873845948123,0.06558072430313595,0.36504400404898074,0.1513242672492479,
0.09716890165652493,3040.873845948123,0.05729646779042544,0.3564256631622296,0.1328254364073869,
0.0878416104015929,3040.873845948123,0.051274609039432144,0.34357655821111854,0.11980518349685415,
0.07979083548886733,3040.873845948123,0.04329517277219438,0.3272589773283164,0.11745763323687289,
0.07246716432730071,3040.873845948123,0.03798920060372046,0.31065880814551305,0.11519559027949539,
0.06646312720139819,3040.873845948123,0.03641480854192947,0.2879623084814012,0.10858446972584056,
0.05829855500668429,3040.873845948123,0.03270924425720332,0.2621724813827912,0.0986015726238692,
0.05516516359833558,3040.873845948123,0.030907535108417587,0.2552237476825029,0.09499358694607757,
0.04900975054832675,3040.873845948123,0.027585563076575503,0.25177984538169934,0.09225693028588432,
