FullyConnected,Local,Grid,Star,NCluster,
79.43645114878385,69.50665919778831,84.63353551232773,84.46570875676032,78.18436297890808,
10.058550742810302,41.69214697668418,14.222930102201097,18.461624240759527,13.109558094709653,
5.587480753015069,29.61607370469236,8.733210588056961,10.6082495688893,7.0292076204892,
4.524284697753119,24.998582146957297,6.295269889297621,7.587510891133219,5.452300926666974,
3.898603039182687,20.66019017567714,5.176544873893542,6.093783808413378,4.280862851783911,
3.412270395535475,17.803619002104064,4.900136351760073,5.510233160562054,3.8648899587620993,
3.100897083868722,15.369612444013585,4.671523320979511,5.043755119982011,3.329559826208114,
2.926769296502568,13.749827714341505,4.4339578248751605,4.4354211826587,3.2110125071375952,
2.814784408135791,11.863216443702322,3.96374452212197,4.212143895680803,2.956847015938347,
2.740726526309203,11.205555315513259,3.794541745923822,3.930231903566239,2.829205327027553,
2.611929901573312,10.58160227222878,3.596375118331478,3.721781756243888,2.7563842692600278,
2.4758296601103797,10.247798803581645,3.5307290847320827,3.5460434722239946,2.573012947729657,
2.4310560372536316,10.096781564698512,3.3149341417723184,3.386746558684329,2.4859705602920026,
2.316884969456686,9.903258114560735,3.144244871545427,3.2963994251437945,2.3723341725762825,
2.2513055852604116,9.747883110051964,3.007712704986396,3.1718627430379778,2.311881620298342,
2.220753872301716,9.462560492428384,2.9283253942401273,3.0800799559680616,2.249620245504336,
2.1842765258498953,9.376999066024974,2.862027161792732,3.049944206551778,2.182655909705786,
2.123451465038983,9.322677802843373,2.822604710596666,3.0048834701537683,2.149051456254184,
2.073761165752832,9.038457025626998,2.744877600809118,2.97997178362022,2.08957103725379,
1.9963569090352702,8.688036131875366,2.654589682461339,2.9030393884554906,2.034467031414657,
1.9128015787018688,8.510899607420715,2.618394807681818,2.869122782139826,2.0111763321167917,
1.8756895149885906,8.457547183009266,2.5156225332429685,2.8054093156494546,1.9974295860378073,
1.8594368967566917,8.404111943531763,2.4510237246253386,2.757072818833442,1.9233901886204343,
1.8435066063211882,8.266205611212873,2.40535626500054,2.743601327906811,1.8581879453321941,
1.7550204058806083,8.171522087522279,2.3566216824574684,2.5818102008497523,1.8030047169718781,
1.7175788754588777,8.103316211013114,2.3164579046282707,2.5272957634092483,1.7595310179632513,
1.6954365580117396,8.067713853582068,2.2964224644442597,2.4197120877304643,1.7433504271386402,
1.6761564682303438,8.05408764260878,2.266806520158135,2.4128979467981435,1.722616400475124,
1.6615439332704354,7.941629508360545,2.2327229051326745,2.3856636406564475,1.683717335264677,
1.6151622645959318,7.862531448456702,2.2026476892075286,2.3037014181902404,1.6664646778366137,
1.5516274350304078,7.836215876257181,2.166836479033441,2.2486788521547876,1.6342452767999955,
1.5115852339673128,7.788389218065782,2.095375496558948,2.2208440502495885,1.6086378044296223,
1.491939101644209,7.762087264859916,2.071517803425105,2.173174571361872,1.5811936413960348,
1.461864476440374,7.73226508191963,2.0063704066635197,2.150471312524622,1.5660823584345174,
1.4462048309470272,7.726297650602604,1.9930577799238478,2.0897754491821448,1.499741584930753,
1.4259448099791894,7.6744825653810755,1.919606823086885,2.06921164861905,1.4799469721844634,
1.4181449581957204,7.656584870694525,1.9090674009954247,2.029389058573579,1.4331991224403555,
1.4133934703624997,7.631283785059139,1.8270911377205221,2.017665609130955,1.4222895503974766,
1.402299050241382,7.61425435213663,1.7812065485637902,1.9766381445485945,1.402608146754716,
1.3620230854383426,7.60691118987817,1.7803556759329535,1.9615065455089833,1.3844723210594982,
1.344152079121341,7.602981035432183,1.7409277023982057,1.8919684357362523,1.351580963803387,
