FullyConnected,Local,Grid,Star,NCluster,
78.40669046867396,69.68057897649007,81.18892334767473,77.4773185403657,83.48773989484789,
30.788040244226025,52.26655944827436,33.29126375383877,41.433490158608386,32.62352222179586,
17.099327718930898,46.28838505525151,18.117915518700833,22.045192461609837,20.345275259550597,
11.656692979448001,38.568868813898156,13.132781399318834,14.694327012776522,13.239574489095386,
8.600941725052902,29.105773522202416,9.583804107347923,10.91354314329751,10.207394564618761,
7.296626361860171,24.704654768669638,7.6818446788763985,9.019211073855011,8.212066466704686,
6.476786154624621,22.847335657078432,6.979200552785255,7.832179828442281,6.6874453969372745,
5.6033754357450265,20.842512745278825,5.993476698689103,6.974640768522302,5.820882041486483,
4.838522759364114,18.388361159715103,5.372000933083583,5.825541363272873,5.1671726633526776,
4.408289763862877,16.501670481149056,4.9376486090506,5.075940065649539,4.392103204624734,
4.0605510456831935,14.844297787409372,4.373629293546165,4.488235903718738,4.134937792407774,
3.418285051173214,12.787242878303424,3.880403504182666,4.007870565903984,3.694251057491781,
3.118248377642474,12.31002743382755,3.5728003687310865,3.7097684957461836,3.4310761936645893,
2.896913548578178,11.664768105404505,3.397043942048592,3.5457559975490085,3.2184362790008976,
2.723660987397938,10.08342183341403,3.2485006884574834,3.3182062556941196,3.0271105145976644,
2.6313150540959707,9.57686101782394,2.992251408692331,3.103586039905859,2.9057641458864882,
2.4262013124359,9.01939945314946,2.8683675872459773,2.988422272524057,2.687739639687856,
2.3371504479046554,8.252568170254582,2.7464837250429954,2.8140254740039397,2.444283509322294,
2.213420480310073,7.692801983669648,2.4229780053411663,2.635187584163581,2.3831581953022467,
2.164477687169312,7.182504304818135,2.3362689772435137,2.451652843290376,2.2506607121610247,
2.0550106931644425,6.760704640558846,2.2125417702897736,2.3221477292907653,2.2158268494493565,
2.003680611737661,6.406891385258737,2.032830540907229,2.1887129494572672,2.054581949902411,
1.8863755024287205,6.236674146121953,2.0111037117272987,2.0984463972443597,1.9287591453438815,
1.7318935306310757,5.707448722880794,1.9568961529968247,1.9657746761302564,1.8986344252801561,
1.6829985842152184,5.482251648796878,1.8855071689764058,1.9121869310978452,1.8307638662829728,
1.587780774500651,5.302530486126946,1.8276264880751387,1.8468745538310665,1.7593326544143035,
1.530508295438367,4.993932467708902,1.745794316441087,1.8104712361299955,1.636217119005734,
1.500977234031248,4.648544822444535,1.6978029767457903,1.7789073852040678,1.5788513457885591,
1.4751153060373892,4.44719290089141,1.6064825466279131,1.741311507144014,1.5391149074373642,
1.443149436783382,4.2699522891075254,1.530269924478922,1.7084272404559298,1.5262516736699927,
1.3936918731494505,4.140450537933298,1.4851102068098072,1.6797413552767895,1.4891649083404164,
1.333644714640324,4.0407740903641125,1.4381459270212023,1.6427774251779668,1.4293064201956622,
1.3184188266525463,3.9625969095600415,1.3812010139993505,1.5945896950938916,1.3980512781362155,
1.300714744816708,3.9088025831175135,1.3521509554080398,1.5489497548326312,1.3661143879289392,
1.2742385775623393,3.7267797165157273,1.3240761725579,1.5283810687612658,1.3292922194443686,
1.2556103543841637,3.663992465675385,1.3062772968526049,1.4647148632894285,1.3002892922906997,
1.226979006608247,3.5547124459843604,1.2851497239752867,1.4164701408575666,1.2814333869485723,
1.2077711239347833,3.4603524115747586,1.2744348088718929,1.3824899457856303,1.2542267603863866,
1.193519533544781,3.3495413281963082,1.2582620728710574,1.3368673182072874,1.2264422669315784,
1.1729831750149848,3.2609311350284327,1.2410701743701893,1.3042246998255533,1.201486998626398,
1.1447759634272219,3.1969344763095506,1.2242200972831079,1.2689717391049415,1.185113292188992,
